episodes,tmax,goalcoords,rsz,rmax,seed,pcinit,bptype,npc,alpha,sigma,plr,clr,llr,alr,slr,gamma,nact,beta,balpha,paramsindex,noise,analysis,datadir,figdir,csvname,var_pv,var_rc,var_gr,var_lat
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],0.0,drift,./data/,./fig/,results_noise_all,0.00324707593186729,0.0008352327337723152,0.4961896526137642,0.39386239944049534
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],0.0,drift,./data/,./fig/,results_noise_all,0.004284014107909585,0.0008925677707273187,0.6387086725506136,0.3452007441025993
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],5e-07,drift,./data/,./fig/,results_noise_all,0.004117727234706343,0.0009196365848485383,0.6514460688929193,0.38705842161396475
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],5e-07,drift,./data/,./fig/,results_noise_all,0.0041485476864521,0.0009987156861603445,0.3551047536747785,0.3967983677659623
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],5e-07,drift,./data/,./fig/,results_noise_all,0.003688370907114397,0.0009374470323566386,0.857801320194587,0.4414657643191001
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],0.0,drift,./data/,./fig/,results_noise_all,0.004267476380305551,0.0011498252316481758,0.8298735255281673,0.42574323733258174
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],5e-06,drift,./data/,./fig/,results_noise_all,0.008370381837457034,0.0036743947130311577,0.6179481147902144,0.41123424429276106
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],1e-06,drift,./data/,./fig/,results_noise_all,0.003429664704203034,0.001087833714564425,0.6683412553328762,0.43462399274757174
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],5e-06,drift,./data/,./fig/,results_noise_all,0.012229927355143723,0.0037283538207842468,0.8232724271125121,0.4388628557841502
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],5e-06,drift,./data/,./fig/,results_noise_all,0.012283969816641396,0.00380830609753943,0.7122270449353764,0.37354623126118436
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],1e-06,drift,./data/,./fig/,results_noise_all,0.00356078781389918,0.0009625336900856461,0.9675880840466556,0.4641023622044924
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],1e-05,drift,./data/,./fig/,results_noise_all,0.0370208481957054,0.010316755352624957,0.6759475414975987,0.28662799345341533
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],1e-06,drift,./data/,./fig/,results_noise_all,0.004686624271707243,0.0013137408643723336,0.6292596238270576,0.3426442359795762
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],1e-05,drift,./data/,./fig/,results_noise_all,0.043593637483988985,0.010068330062105094,0.19882322436401623,0.38963088139968527
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],1e-05,drift,./data/,./fig/,results_noise_all,0.02601074589193669,0.011265190259092013,0.5853508593816396,0.3655415504824542
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],5e-05,drift,./data/,./fig/,results_noise_all,0.08828016474734536,0.0630366731118788,0.9986456195180405,0.23486511361883453
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],0.001,drift,./data/,./fig/,results_noise_all,0.19638901446687834,0.0781208763537814,4.311788853517124,0.2750792379608076
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],5e-05,drift,./data/,./fig/,results_noise_all,0.09272680759669116,0.019875271928465978,1.6039985208686527,0.18077226031996038
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],5e-05,drift,./data/,./fig/,results_noise_all,0.09549864327286751,0.050520437817729205,1.055041215605716,0.24344488065013933
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],0.001,drift,./data/,./fig/,results_noise_all,0.14490110842731388,0.04654159426338627,4.311580683063628,4.458627300619658
