episodes,tmax,goalcoords,rsz,rmax,seed,pcinit,bptype,npc,alpha,sigma,plr,clr,llr,alr,slr,gamma,nact,beta,balpha,paramsindex,noise,analysis,datadir,figdir,csvname,var_pv,var_rc,var_gr,var_lat
200000,100,[0.5],0.05,5,0,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",0.0,drift,./data/,./fig/,results_noise,0.015705327070737827,0.02104589461046257,2.724522701663429,1.3769140566748321
200000,100,[0.5],0.05,5,1,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",0.0,drift,./data/,./fig/,results_noise,0.010426313722688927,0.015490505803278296,3.1381208728499423,1.254359434691512
200000,100,[0.5],0.05,5,8,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[3],0.01,drift,./data/,./fig/,results_noise,3.2393418170885016e-09,1.5742061347034305e-09,3.593468822743219e-109,0.0
200000,100,[0.5],0.05,5,3,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",0.0,drift,./data/,./fig/,results_noise,0.01386871431056725,0.023309909220630674,2.8957079818057205,1.5784152556177815
200000,100,[0.5],0.05,5,3,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",5e-07,drift,./data/,./fig/,results_noise,0.013015345993702484,0.015665787471405304,3.0634524339788918,1.3209271584895859
200000,100,[0.5],0.05,5,9,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",0.0,drift,./data/,./fig/,results_noise,0.016195612884277243,0.018149776121731184,3.238596835388028,1.1922347634228927
200000,100,[0.5],0.05,5,0,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",5e-07,drift,./data/,./fig/,results_noise,0.006511199878167215,0.016087367887079936,3.256102141463414,1.3472009072446298
200000,100,[0.5],0.05,5,7,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",0.0,drift,./data/,./fig/,results_noise,0.00645754611541402,0.019421980900748415,2.946763360020622,1.2406779988878074
200000,100,[0.5],0.05,5,5,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",0.0,drift,./data/,./fig/,results_noise,0.021346103858605074,0.022270149439866507,3.401571401915429,1.3399303630528567
200000,100,[0.5],0.05,5,1,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",5e-07,drift,./data/,./fig/,results_noise,0.006961405375944916,0.019984299739375287,3.16283288428716,1.3473394292461196
200000,100,[0.5],0.05,5,6,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",0.0,drift,./data/,./fig/,results_noise,0.010703634015599676,0.014794378748332455,3.209850711393394,1.511189706043014
200000,100,[0.5],0.05,5,2,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",5e-07,drift,./data/,./fig/,results_noise,0.013762504585317747,0.019560588249076836,3.197179615241883,1.390892125080832
200000,100,[0.5],0.05,5,8,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",0.0,drift,./data/,./fig/,results_noise,0.008705685932013641,0.015383270692347762,3.2468101856010816,2.5760840331594883
200000,100,[0.5],0.05,5,9,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[3],0.0005,drift,./data/,./fig/,results_noise,0.07035565395430884,0.07476529289371828,11.119814732142043,29.327674624656517
200000,100,[0.5],0.05,5,4,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",5e-07,drift,./data/,./fig/,results_noise,0.01457483847238598,0.02055688227172954,2.897922477797987,1.265234666636163
200000,100,[0.5],0.05,5,8,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",5e-07,drift,./data/,./fig/,results_noise,0.007636338685499986,0.019746847873757217,3.155024648665324,1.3773503240192502
200000,100,[0.5],0.05,5,5,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",5e-07,drift,./data/,./fig/,results_noise,0.01558389209740867,0.018750530341100226,2.973513588179072,1.2722770937592125
200000,100,[0.5],0.05,5,0,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",1e-06,drift,./data/,./fig/,results_noise,0.01028163411198104,0.013305852977855137,3.2171427187114614,1.564607796506417
200000,100,[0.5],0.05,5,2,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",1e-06,drift,./data/,./fig/,results_noise,0.016523171626314663,0.020251380365810485,3.0108433928653975,1.2583455604354137
200000,100,[0.5],0.05,5,3,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",1e-06,drift,./data/,./fig/,results_noise,0.017972676952220296,0.021121188990322295,3.043985638546348,1.2515269849635773
200000,100,[0.5],0.05,5,6,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",5e-07,drift,./data/,./fig/,results_noise,0.008668249648106075,0.014443546826289386,3.0720067889867484,1.3448557236848964
200000,100,[0.5],0.05,5,9,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",5e-07,drift,./data/,./fig/,results_noise,0.012287841982197283,0.01801614893089563,3.246912261091888,1.3013099137443356
200000,100,[0.5],0.05,5,1,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",1e-06,drift,./data/,./fig/,results_noise,0.009545672777826779,0.021774145347990184,3.0602669180127036,1.2835464034342865
200000,100,[0.5],0.05,5,9,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[3],0.001,drift,./data/,./fig/,results_noise,0.23926566607377267,0.0868711296590462,12.692382992973036,39.391759225750576
200000,100,[0.5],0.05,5,7,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",1e-06,drift,./data/,./fig/,results_noise,0.008087063269325595,0.017250380219490907,3.2944125595288303,1.2661714010261131
200000,100,[0.5],0.05,5,1,uni,both,16,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[3, 4]",5e-06,drift,./data/,./fig/,results_noise,0.021302258031755707,0.021230420030985808,3.181045054516131,1.328536869853699
