episodes,tmax,goalcoords,rsz,rmax,seed,pcinit,bptype,npc,alpha,sigma,plr,clr,llr,alr,slr,gamma,nact,beta,balpha,paramsindex,noise,analysis,datadir,figdir,csvname,latencys,cumr,dx,delta_dxr
50000,100,[0.5],0.05,9,1,uni,both,4,0.5,0.025,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,22,47.02367256900213,"[[0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.57347954,0.57531416,0.57558468,...,0.68670241,0.68033913,0.67400009], [0.73054203,0.73352116,0.73494159,...,0.93645375,0.92904163,0.92165861]]","[-0.00293204, 0.1689766 , 0.18863543]"
50000,100,[0.5],0.05,9,0,uni,both,4,0.5,0.025,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,22,47.02367256900213,"[[0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.56965474,0.57144677,0.5716734 ,...,0.75160952,0.7447749 ,0.7379677 ], [0.75427382,0.75722486,0.75861468,...,0.98644788,0.97891467,0.97140914]]","[-0.00293204, 0.18116345, 0.19858302]"
50000,100,[0.5],0.05,10,0,uni,both,4,0.5,0.025,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,23,47.18375937309292,"[[0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.55869834,0.56049782,0.56073291,...,0.67173769,0.66401031,0.65620196], [0.71094223,0.7138473 ,0.71519344,...,0.85698539,0.84735553,0.83766341]]","[-0.00293204, 0.17953431, 0.23848314]"
50000,100,[0.5],0.05,10,1,uni,both,4,0.5,0.025,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,23,50.11764032064161,"[[0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.57527745,0.57713778,0.57743387,...,0.65731296,0.64983724,0.64230631], [0.71168589,0.71457906,0.71591339,...,0.89502641,0.88573677,0.87642152]]","[-0.00293204, 0.18427068, 0.23060299]"
50000,100,[0.5],0.05,10,2,uni,both,4,0.5,0.025,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,23,47.18375937309292,"[[0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.55673425,0.55852505,0.5587509 ,...,0.64826888,0.64045317,0.63250736], [0.69925252,0.70211406,0.70341625,...,0.84535656,0.83561549,0.82575662]]","[-0.00293204, 0.17559788, 0.23313241]"
50000,100,[0.5],0.01,3,1,uni,both,4,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,68,19.443113924759786,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.25075239,0.25129811,0.2514467 ], [0.25022475,0.25003407,0.24944489,...,0.26103367,0.2603469 ,0.2593752 ]]","[-0.01174867, 0.03487851,-0.00012394]"
50000,100,[0.5],0.01,3,0,uni,both,4,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,4.994082945030362,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.25035645,0.25091358,0.25107329], [0.25027625,0.25008784,0.24950101,...,0.26124567,0.26050962,0.25949395]]","[-0.01174867, 0.03313643, 0.00051914]"
50000,100,[0.5],0.05,1,0,uni,both,4,0.5,0.05,0.01,0.01,0.0,0.0,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,6.830590246435706e-54,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.00238099,-0.00238099]"
50000,100,[0.5],0.05,7,0,uni,both,4,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,2.7813678793912673e-132,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.01409437,-0.01409448]"
50000,100,[0.5],0.05,7,1,uni,both,4,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,1.639786105588708e-65,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.014156  ,-0.01416009]"
